,date,year,quarter,month,month_name,month_abbreviation,year_month,day,day_of_week,day_name,day_abbreviation,week,is_weekend,fiscal_year,fiscal_quarter,fiscal_month,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year
0,2021-01-01 00:00:00.0000000,2021,1,1,January,Jan,202101,1,6,Friday,Fri,53,False,2021,1,1,False,False,False
1,2021-01-02 00:00:00.0000000,2021,1,1,January,Jan,202101,2,7,Saturday,Sat,53,True,2021,1,1,False,False,False
2,2021-01-03 00:00:00.0000000,2021,1,1,January,Jan,202101,3,8,Sunday,Sun,53,True,2021,1,1,False,False,False
3,2021-01-04 00:00:00.0000000,2021,1,1,January,Jan,202101,4,2,Monday,Mon,1,False,2021,1,1,False,False,False
4,2021-01-05 00:00:00.0000000,2021,1,1,January,Jan,202101,5,3,Tuesday,Tue,1,False,2021,1,1,False,False,False
5,2021-01-06 00:00:00.0000000,2021,1,1,January,Jan,202101,6,4,Wednesday,Wed,1,False,2021,1,1,False,False,False
6,2021-01-07 00:00:00.0000000,2021,1,1,January,Jan,202101,7,5,Thursday,Thu,1,False,2021,1,1,False,False,False
7,2021-01-08 00:00:00.0000000,2021,1,1,January,Jan,202101,8,6,Friday,Fri,1,False,2021,1,1,False,False,False
8,2021-01-09 00:00:00.0000000,2021,1,1,January,Jan,202101,9,7,Saturday,Sat,1,True,2021,1,1,False,False,False
9,2021-01-10 00:00:00.0000000,2021,1,1,January,Jan,202101,10,8,Sunday,Sun,1,True,2021,1,1,False,False,False
10,2021-01-11 00:00:00.0000000,2021,1,1,January,Jan,202101,11,2,Monday,Mon,2,False,2021,1,1,False,False,False
11,2021-01-12 00:00:00.0000000,2021,1,1,January,Jan,202101,12,3,Tuesday,Tue,2,False,2021,1,1,False,False,False
12,2021-01-13 00:00:00.0000000,2021,1,1,January,Jan,202101,13,4,Wednesday,Wed,2,False,2021,1,1,False,False,False
13,2021-01-14 00:00:00.0000000,2021,1,1,January,Jan,202101,14,5,Thursday,Thu,2,False,2021,1,1,False,False,False
14,2021-01-15 00:00:00.0000000,2021,1,1,January,Jan,202101,15,6,Friday,Fri,2,False,2021,1,1,False,False,False
