,order_id,order_date,order_time,order_quantity,product_name,customer_country,shipment_date,shipment_mode,gross_sales,discount_percent,profit
0,3535,2021-02-21,14:07,1,Field & Stream Sportsman 16 Gun Fire Safe,Mexico,2021-02-27,Standard Class,400,0.25,200
1,4133,2021-03-02,7:37,1,Field & Stream Sportsman 16 Gun Fire Safe,Brazil,2021-03-06,Standard Class,400,0.09,200
2,7396,2021-04-18,22:47,1,Field & Stream Sportsman 16 Gun Fire Safe,Mexico,2021-04-20,Standard Class,400,0.06,200
3,11026,2021-06-10,22:32,1,Field & Stream Sportsman 16 Gun Fire Safe,Denmark,2021-06-12,Standard Class,400,0.15,200
4,11026,2021-06-10,22:32,1,Field & Stream Sportsman 16 Gun Fire Safe,Denmark,2021-06-12,Standard Class,400,0.13,200
5,11026,2021-06-10,22:32,1,Field & Stream Sportsman 16 Gun Fire Safe,Denmark,2021-06-12,Standard Class,400,0.16,200
6,19273,2021-10-09,7:50,1,Field & Stream Sportsman 16 Gun Fire Safe,Netherlands,2021-10-13,Standard Class,400,0.06,200
7,19566,2021-10-13,14:29,1,Field & Stream Sportsman 16 Gun Fire Safe,Germany,2021-10-15,Standard Class,400,0.12,200
8,21215,2021-11-06,16:12,1,Field & Stream Sportsman 16 Gun Fire Safe,China,2021-11-12,Standard Class,400,0.04,200
9,21846,2021-11-15,21:16,1,Field & Stream Sportsman 16 Gun Fire Safe,Indonesia,2021-11-17,Standard Class,400,0.02,200
10,21916,2021-11-16,21:48,1,Field & Stream Sportsman 16 Gun Fire Safe,Pakistan,2021-11-18,Standard Class,400,0.04,200
11,23578,2021-12-11,4:04,1,Field & Stream Sportsman 16 Gun Fire Safe,China,2021-12-15,Standard Class,400,0.05,200
12,25301,2022-01-05,7:43,1,Field & Stream Sportsman 16 Gun Fire Safe,India,2022-01-07,Standard Class,400,0.05,200
13,27376,2022-02-04,14:40,1,Field & Stream Sportsman 16 Gun Fire Safe,China,2022-02-06,Standard Class,400,0.01,200
14,27558,2022-02-07,6:26,1,Field & Stream Sportsman 16 Gun Fire Safe,India,2022-02-11,Standard Class,400,0.12,200
15,29685,2022-03-09,7:37,1,Field & Stream Sportsman 16 Gun Fire Safe,China,2022-03-15,Standard Class,400,0.07,200
16,33816,2022-05-08,14:54,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-05-10,Standard Class,400,0.06,200
17,33816,2022-05-08,14:54,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-05-10,Standard Class,400,0.05,200
18,35603,2022-06-03,16:57,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-06-07,Standard Class,400,0.18,200
19,37395,2022-06-29,20:47,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-07-05,Standard Class,400,0.01,200
20,37395,2022-06-29,20:47,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-07-05,Standard Class,400,0.02,200
21,37553,2022-07-02,4:08,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-07-06,Standard Class,400,0.15,200
22,39986,2022-08-06,16:31,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-08-08,Standard Class,400,0.13,200
23,39986,2022-08-06,16:31,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-08-08,Standard Class,400,0.15,200
24,41215,2022-08-24,15:06,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-08-30,Standard Class,400,0.1,200
25,43246,2022-09-23,6:38,1,Field & Stream Sportsman 16 Gun Fire Safe,Hungary,2022-09-25,Standard Class,400,0.02,200
26,43598,2022-09-28,9:58,1,Field & Stream Sportsman 16 Gun Fire Safe,Sudan,2022-10-02,Standard Class,400,0.15,200
27,43598,2022-09-28,9:58,1,Field & Stream Sportsman 16 Gun Fire Safe,Sudan,2022-10-02,Standard Class,400,0.13,200
28,49275,2022-12-20,6:52,1,Field & Stream Sportsman 16 Gun Fire Safe,Democratic Republic of Congo,2022-12-26,Standard Class,400,0.07,200
29,49291,2022-12-20,12:28,1,Field & Stream Sportsman 16 Gun Fire Safe,Poland,2022-12-22,Standard Class,400,0.03,200
30,49558,2022-12-24,10:01,1,Field & Stream Sportsman 16 Gun Fire Safe,Togo,2022-12-28,Standard Class,400,0.04,200
31,53626,2023-02-21,19:13,1,Field & Stream Sportsman 16 Gun Fire Safe,Guatemala,2023-02-23,Standard Class,400,0.07,200
32,55853,2023-03-26,7:26,1,Field & Stream Sportsman 16 Gun Fire Safe,Panama,2023-03-30,Standard Class,400,0.18,200
33,59071,2023-05-12,6:51,1,Field & Stream Sportsman 16 Gun Fire Safe,Chile,2023-05-14,Standard Class,400,0.17,200
34,59336,2023-05-16,3:41,1,Field & Stream Sportsman 16 Gun Fire Safe,Brazil,2023-05-18,Standard Class,400,0.07,200
35,59346,2023-05-16,7:11,1,Field & Stream Sportsman 16 Gun Fire Safe,Mexico,2023-05-18,Standard Class,400,0.03,200
36,63558,2023-07-16,18:50,1,Field & Stream Sportsman 16 Gun Fire Safe,France,2023-07-20,Standard Class,400,0.06,200
37,63558,2023-07-16,18:50,1,Field & Stream Sportsman 16 Gun Fire Safe,France,2023-07-20,Standard Class,400,0.07,200
38,63575,2023-07-17,0:48,1,Field & Stream Sportsman 16 Gun Fire Safe,Sweden,2023-07-23,Standard Class,400,0.03,200
39,63601,2023-07-17,9:54,1,Field & Stream Sportsman 16 Gun Fire Safe,Netherlands,2023-07-19,Standard Class,400,0.17,200
40,63921,2023-07-22,2:01,1,Field & Stream Sportsman 16 Gun Fire Safe,France,2023-07-24,Standard Class,400,0.1,200
41,67823,2023-09-17,1:04,1,Field & Stream Sportsman 16 Gun Fire Safe,Germany,2023-09-21,Standard Class,400,0.03,200
42,67833,2023-09-17,4:34,1,Field & Stream Sportsman 16 Gun Fire Safe,France,2023-09-21,Standard Class,400,0.0,200
43,4305,2021-04-13,11:25,1,Field & Stream Sportsman 16 Gun Fire Safe,Dominican�Republic,2021-04-13,Same Day,400,0.02,200
44,4305,2021-04-28,13:40,1,Field & Stream Sportsman 16 Gun Fire Safe,Dominican�Republic,2021-05-04,Same Day,400,0.01,200
45,7725,2021-06-13,2:02,1,Field & Stream Sportsman 16 Gun Fire Safe,Venezuela,2021-06-17,Second Class,400,0.1,200
46,21968,2021-10-27,12:22,1,Field & Stream Sportsman 16 Gun Fire Safe,South Korea,2021-10-29,Second Class,400,0.12,200
47,65258,2023-07-02,13:15,1,Field & Stream Sportsman 16 Gun Fire Safe,France,2023-07-06,Same Day,400,0.12,200
48,558,2023-08-18,1:48,1,Field & Stream Sportsman 16 Gun Fire Safe,Mexico,2023-08-24,First Class,400,0.04,200
49,6536,2021-03-04,19:52,1,Field & Stream Sportsman 16 Gun Fire Safe,Brazil,2021-03-05,First Class,400,0.12,200
50,15811,2021-08-10,17:44,1,Field & Stream Sportsman 16 Gun Fire Safe,Germany,2021-08-12,First Class,400,0.02,200
51,21888,2021-10-28,3:47,1,Field & Stream Sportsman 16 Gun Fire Safe,India,2021-11-01,First Class,400,0.13,200
52,33331,2022-01-23,11:53,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-01-25,Second Class,400,0.12,200
53,33331,2022-01-27,17:50,1,Field & Stream Sportsman 16 Gun Fire Safe,USA,2022-01-29,Second Class,400,0.15,200
