Product Name, Year Month , Warehouse Inventory ,Inventory Cost Per Unit
Perfect Fitness Perfect Rip Deck,202312,0,0.69517
Nike Men's Dri-FIT Victory Golf Polo,202312,2,1.29291
O'Brien Men's Neoprene Life Vest,202312,0,0.56531
Nike Men's Free 5.0+ Running Shoe,202312,1,1.26321
Under Armour Girls' Toddler Spine Surge Runni,202312,0,1.47648
Nike Men's CJ Elite 2 TD Football Cleat,202312,0,0.69591
Field & Stream Sportsman 16 Gun Fire Safe,202312,0,1.39148
Pelican Sunstream 100 Kayak,202312,0,0.20291
Diamondback Women's Serene Classic Comfort Bi,202312,0,1.54601
ENO Atlas Hammock Straps,202312,0,0.48119
Nike Men's Comfort 2 Slide,202312,0,1.96183
adidas Youth Germany Black/Red Away Match Soc,202312,0,2.07809
Team Golf St. Louis Cardinals Putter Grip,202312,0,0.6607
LIJA Women's Eyelet Sleeveless Golf Polo,202312,0,1.50903
adidas Men's F10 Messi TRX FG Soccer Cleat,202312,0,1.66425
Glove It Women's Imperial Golf Glove,202312,0,1.56399
Glove It Imperial Golf Towel,202312,0,2.24724
Bridgestone e6 Straight Distance NFL Carolina,202312,0,1.06684
Glove It Women's Mod Oval 3-Zip Carry All Gol,202312,2,2.16158
Columbia Men's PFG Anchor Tough T-Shirt,202312,0,0.47667
Under Armour Women's Ignite Slide,202312,2,1.00809
Team Golf Tennessee Volunteers Putter Grip,202312,0,0.35118
Titleist Pro V1x High Numbers Personalized Go,202312,0,0.75101
Nike Men's Deutschland Weltmeister Winners Bl,202312,0,1.00566
Bridgestone e6 Straight Distance NFL San Dieg,202312,0,0.20643
Nike Women's Tempo Shorts,202312,0,1.62777
Team Golf Texas Longhorns Putter Grip,202312,2,2.24605
Hirzl Women's Soffft Flex Golf Glove,202312,0,0.5795
Clicgear 8.0 Shoe Brush,202312,0,1.39674
Hirzl Women's Hybrid Golf Glove,202312,0,1.06069
Team Golf Pittsburgh Steelers Putter Grip,202312,0,0.43135
Top Flite Women's 2023 XL Hybrid,202312,0,0.55428
Glove It Urban Brick Golf Towel,202312,0,0.70054
Nike Dri-FIT Crew Sock 6 Pack,202312,0,1.5948
TYR Boys' Team Digi Jammer,202312,0,0.63609
Team Golf San Francisco Giants Putter Grip,202312,0,1.88895
Clicgear Rovic Cooler Bag,202312,0,1.29098
Hirzl Men's Hybrid Golf Glove,202312,0,1.06017
Titleist Pro V1x Golf Balls,202312,0,0.24553
adidas Men's Germany Black Crest Away Tee,202312,0,1.27932
Titleist Pro V1 High Numbers Personalized Gol,202312,0,0.94013
Under Armour Women's Micro G Skulpt Running S,202312,0,2.31993
Under Armour Hustle Storm Medium Duffle Bag,202312,1,1.0308
Under Armour Women's Ignite PIP VI Slide,202312,0,1.88977
Bag Boy Beverage Holder,202312,0,0.73373
Under Armour Men's Tech II T-Shirt,202312,0,0.88756
